cats
 pointy: boolean  round: boolean  whiskers: boolean  cat: boolean 
 true             true            true               true         
 false            false           true               true         
 false            true            false              false        
 true             false           true               false        
 true             true            true               true         
 true             true            false              true         
 false            false           false              false        
 true             true            false              true         
 false            true            false              false        
 false            true            false              false        
